s_name_map,pc_name_map,electors,voters
Andaman & Nicobar,Andaman and Nicobar Islands,317878,207208
Andhra Pradesh,Amalapuram,1458788,1223856
Andhra Pradesh,Anakapalli,1517497,1228541
Andhra Pradesh,Anantapuramu,1662747,1335073
Andhra Pradesh,Araku,1449334,1067052
Andhra Pradesh,Bapatla,1464192,1252891
Andhra Pradesh,Chittoor,1563175,1308574
Andhra Pradesh,Eluru,1594366,1321658
Andhra Pradesh,Guntur,1704431,1338840
Andhra Pradesh,Hindupur,1576770,1325003
Andhra Pradesh,Kadapa,1568388,1219461
Andhra Pradesh,Kakinada,1563226,1225308
Andhra Pradesh,Kurnool,1571954,1180866
Andhra Pradesh,Machilipatnam,1472844,1234891
Andhra Pradesh,Nandyal,1600459,1287446
Andhra Pradesh,Narasaraopet,1669308,1427643
Andhra Pradesh,Narsapuram,1438922,1167811
Andhra Pradesh,Nellore,1672306,1273297
Andhra Pradesh,Ongole,1550067,1321109
Andhra Pradesh,Rajahmundry,1436010,1242742
Andhra Pradesh,Rajampet,1545389,1211572
Andhra Pradesh,Srikakulam,1540170,1140787
Andhra Pradesh,Tirupati,1650003,1304820
Andhra Pradesh,Vijayawada,1652662,1274904
Andhra Pradesh,Visakhapatnam,1825769,1228070
Andhra Pradesh,Vizianagaram,1499300,1207944
Arunachal Pradesh,Arunachal East,337034,281491
Arunachal Pradesh,Arunachal West,461214,336161
Assam,Autonomous District,795085,615944
Assam,Barpeta,1676854,1452213
Assam,Dhubri,1856168,1682711
Assam,Dibrugarh,1312195,1013821
Assam,Gauhati,2178617,1760511
Assam,Jorhat,1360328,1054126
Assam,Kaliabor,1731610,1421500
Assam,Karimganj,1338005,1058088
Assam,Kokrajhar,1765423,1468112
Assam,Lakhimpur,1704447,1279119
Assam,Mangaldoi,1795529,1501008
Assam,Nowgong,1790683,1490560
Assam,Silchar,1191289,945834
Assam,Tezpur,1494878,1183033
Bihar,Araria,1804954,1168714
Bihar,Arrah,2072368,1072919
Bihar,Aurangabad,1739260,930758
Bihar,Banka,1696533,995274
Bihar,Begusarai,1954484,1217988
Bihar,Bhagalpur,1819243,1039648
Bihar,Buxar,1819076,980291
Bihar,Darbhanga,1653471,961642
Bihar,Gaya,1700641,955279
Bihar,Gopalganj,1837358,1015304
Bihar,Hajipur,1818209,1004088
Bihar,Jahanabad,1580566,816974
Bihar,Jamui,1715848,948180
Bihar,Jhanjharpur,1850672,1059349
Bihar,Karakat,1765062,864507
Bihar,Katihar,1652061,1116964
Bihar,Khagaria,1673314,964995
Bihar,Kishanganj,1659461,1100843
Bihar,Madhepura,1883603,1145506
Bihar,Madhubani,1791166,962149
Bihar,Maharajganj,1800914,968891
Bihar,Munger,1879894,1028287
Bihar,Muzaffarpur,1727779,1053612
Bihar,Nalanda,2109737,1029021
Bihar,Nawada,1896272,934558
Bihar,Paschim Champaran,1631130,1007883
Bihar,Pataliputra,1918913,1073175
Bihar,Patna Sahib,2142842,978602
Bihar,Purnia,1763991,1153250
Bihar,Purvi Champaran,1656444,992810
Bihar,Samastipur,1677662,1019044
Bihar,Saran,1661922,938974
Bihar,Sasaram,1783802,969244
Bihar,Sheohar,1684794,1000841
Bihar,Sitamarhi,1750771,1035581
Bihar,Siwan,1794383,982151
Bihar,Supaul,1688969,1109509
Bihar,Ujiarpur,1609485,966360
Bihar,Vaishali,1733506,1072101
Bihar,Valmiki Nagar,1664048,1029688
Chandigarh,Chandigarh,646084,456207
Chhattisgarh,Bastar,1377946,909943
Chhattisgarh,Bilaspur,1875904,1207297
Chhattisgarh,Durg,1938319,1388972
Chhattisgarh,Janjgir,1895232,1242694
Chhattisgarh,Kanker,1554995,1154259
Chhattisgarh,Korba,1507779,1135629
Chhattisgarh,Mahasamund,1637002,1219725
Chhattisgarh,Raigarh,1731655,1346539
Chhattisgarh,Raipur,2111104,1393210
Chhattisgarh,Rajnandgaon,1715492,1304324
Chhattisgarh,Surguja,1653822,1278321
Dadra & Nagar Haveli,Dadra and Nagar Haveli,250021,198985
Daman & Diu,Daman and Diu,121729,87442
Delhi,Chandni Chowk,1561828,978921
Delhi,East Delhi,2038270,1256314
Delhi,New Delhi,1615994,919056
Delhi,North East Delhi,2289493,1458046
Delhi,North West Delhi,2377604,1401842
Delhi,South Delhi,2065755,1212511
Delhi,West Delhi,2367509,1437087
Goa,North Goa,556627,427797
Goa,South Goa,579185,423878
Gujarat,Ahmedabad East,1809841,1109303
Gujarat,Ahmedabad West,1642720,991701
Gujarat,Amreli,1627980,907554
Gujarat,Anand,1655342,1105587
Gujarat,Banaskantha,1696113,1096938
Gujarat,Bardoli,1826189,1343578
Gujarat,Bharuch,1564205,1145356
Gujarat,Bhavnagar,1767040,1032110
Gujarat,Chhota Udaipur,1670552,1226898
Gujarat,Dahod,1597870,1057453
Gujarat,Gandhinagar,1945149,1275394
Gujarat,Jamnagar,1656006,1004790
Gujarat,Junagadh,1641528,996986
Gujarat,Kachchh,1743825,1015234
Gujarat,Kheda,1803133,1094134
Gujarat,Mahesana,1647470,1076957
Gujarat,Navsari,1971465,1303086
Gujarat,Panchmahal,1743233,1076088
Gujarat,Patan,1805223,1120065
Gujarat,Porbandar,1660932,943280
Gujarat,Rajkot,1883866,1189711
Gujarat,Sabarkantha,1797211,1208427
Gujarat,Surat,1655658,1066362
Gujarat,Surendranagar,1847878,1068946
Gujarat,Vadodara,1794383,1217697
Gujarat,Valsad,1670868,1256702
Haryana,Ambala,1846738,1313394
Haryana,Bhiwani-Mahendragarh,1627334,1147140
Haryana,Faridabad,2065776,1324467
Haryana,Gurgaon,2139990,1441438
Haryana,Hisar,1623419,1175100
Haryana,Karnal,1898935,1298026
Haryana,Kurukshetra,1651648,1227462
Haryana,Rohtak,1714418,1209674
Haryana,Sirsa,1799949,1367370
Haryana,Sonipat,1582821,1123776
Himachal Pradesh,Hamirpur,1338024,972365
Himachal Pradesh,Kangra,1405502,991142
Himachal Pradesh,Mandi,1267988,930691
Himachal Pradesh,Shimla,1250612,907568
Jammu & Kashmir,Anantnag,1393740,122708
Jammu & Kashmir,Baramulla,1312158,449910
Jammu & Kashmir,Jammu,2005780,1454045
Jammu & Kashmir,Ladakh,173815,123547
Jammu & Kashmir,Srinagar,1293957,182190
Jammu & Kashmir,Udhampur,1665511,1169263
Jharkhand,Chatra,1422805,922532
Jharkhand,Dhanbad,2068233,1249151
Jharkhand,Dumka,1396308,1023538
Jharkhand,Giridih,1647715,1103690
Jharkhand,Godda,1714862,1188969
Jharkhand,Hazaribagh,1664476,1079006
Jharkhand,Jamshedpur,1701342,1143317
Jharkhand,Khunti,1199512,828961
Jharkhand,Kodarma,1812085,1208251
Jharkhand,Lohardaga,1227606,813040
Jharkhand,Palamu,1877054,1205800
Jharkhand,Rajmahal,1453511,1045312
Jharkhand,Ranchi,1910955,1230662
Jharkhand,Singhbhum,1268111,878480
Karnataka,Bagalkot,1700547,1200854
Karnataka,Bangalore Central,2204431,1196697
Karnataka,Bangalore North,2848607,1556997
Karnataka,Bangalore Rural,2497141,1620440
Karnataka,Bangalore South,2215395,1184679
Karnataka,Belagavi,1771829,1194806
Karnataka,Bellary,1751297,1218765
Karnataka,Bidar,1773912,1113573
Karnataka,Bijapur,1795931,1110810
Karnataka,Chamarajanagar,1686023,1268173
Karnataka,Chikballapur,1808391,1385387
Karnataka,Chikodi,1604483,1212691
Karnataka,Chitradurga,1760111,1243502
Karnataka,Dakshina Kannada,1724458,1343439
Karnataka,Davangere,1632466,1192162
Karnataka,Dharwad,1725355,1208767
Karnataka,Gulbarga,1945291,1184525
Karnataka,Haasan,1650816,1272947
Karnataka,Haveri,1706909,1263209
Karnataka,Kolar,1628782,1255976
Karnataka,Koppal,1736118,1187690
Karnataka,Mandya,1711307,1372907
Karnataka,Mysore,1894379,1312844
Karnataka,Raichur,1927758,1115886
Karnataka,Shimoga,1675975,1280519
Karnataka,Tumkur,1607991,1241578
Karnataka,Udupi Chikmagalur,1513231,1148700
Karnataka,Uttara Kannada,1552483,1150340
Kerala,Alappuzha,1351405,1082301
Kerala,Alathur,1264471,1015839
Kerala,Attingal,1346641,999356
Kerala,Chalakudy,1229476,988923
Kerala,Ernakulam,1245334,965663
Kerala,Idukki,1203258,917563
Kerala,Kannur,1262144,1048171
Kerala,Kasaragod,1360827,1096470
Kerala,Kollam,1292636,961212
Kerala,Kottayam,1205376,907581
Kerala,Kozhikode,1315355,1071572
Kerala,Malappuram,1369878,1032971
Kerala,Mavelikara,1301067,964198
Kerala,Palakkad,1320680,1025951
Kerala,Pathanamthitta,1378587,1022763
Kerala,Ponnani,1356408,1016525
Kerala,Thiruvananthapuram,1367523,1003457
Kerala,Thrissur,1336399,1040327
Kerala,Vadakara,1286250,1060923
Kerala,Wayanad,1357819,1090072
Lakshadweep,Lakshadweep,55057,46775
Madhya Pradesh,Balaghat,1765938,1366098
Madhya Pradesh,Betul,1734849,1356645
Madhya Pradesh,Bhind,1752681,954959
Madhya Pradesh,Bhopal,2141078,1406236
Madhya Pradesh,Chhindwara,1512369,1241580
Madhya Pradesh,Damoh,1768171,1163801
Madhya Pradesh,Dewas,1757460,1396744
Madhya Pradesh,Dhar,1784848,1342645
Madhya Pradesh,Guna,1674676,1172627
Madhya Pradesh,Gwalior,1995729,1192526
Madhya Pradesh,Hoshangabad,1703757,1263279
Madhya Pradesh,Indore,2349476,1626736
Madhya Pradesh,Jabalpur,1818114,1262608
Madhya Pradesh,Khajuraho,1841092,1254127
Madhya Pradesh,Khandwa,1908390,1466341
Madhya Pradesh,Khargone,1834012,1425298
Madhya Pradesh,Mandla,1949908,1513428
Madhya Pradesh,Mandsaur,1758246,1368296
Madhya Pradesh,Morena,1828660,1132768
Madhya Pradesh,Rajgarh,1692989,1258060
Madhya Pradesh,Ratlam,1850613,1397455
Madhya Pradesh,Rewa,1672122,1009651
Madhya Pradesh,Sagar,1582267,1035874
Madhya Pradesh,Satna,1571526,1111903
Madhya Pradesh,Shahdol,1655558,1234679
Madhya Pradesh,Sidhi,1843936,1279958
Madhya Pradesh,Tikamgarh,1646108,1094228
Madhya Pradesh,Ujjain,1659643,1250465
Madhya Pradesh,Vidisha,1740449,1246409
Maharashtra,Ahmednagar,1854248,1191601
Maharashtra,Akola,1861739,1116763
Maharashtra,Amravati,1830561,1104936
Maharashtra,Aurangabad,1884866,1195242
Maharashtra,Baramati,2112408,1299792
Maharashtra,Beed,2041190,1348399
Maharashtra,Bhandara-Gondiya,1808920,1234896
Maharashtra,Bhiwandi,1889788,1002963
Maharashtra,Buldhana,1758943,1117428
Maharashtra,Chandrapur,1908564,1233836
Maharashtra,Dhule,1904859,1079859
Maharashtra,Dindori,1728841,1134719
