rank,state,population,perc,male,female,sexratio,rural,urban,area,density,s/u,fertility rate,capital,lat,lng,age_female_rural,age_male_rural,age_female_urban,age_male_urban,avg_female_rural,avg_male_rural,avg_female_urban,avg_male_urban,p2011_p1971
33,Andaman-Nicobar,"380,581",0.03,"202,871","177,710",876,"244,411","135,533","8,249",46,u,1.5,Port Blair,11.666667,92.75,"18.8,18.3,21.1,16.9,11.7,7.3,4,1.4,0.5","17.1,16.9,20.7,17.4,12.8,8.2,4.6,1.7,0.6","17.5,17.9,22,18.8,12.8,6.9,2.8,1,0.4","15.9,17.3,21.9,18.2,14,8.1,3.3,1.1,0.3",28.7,30.1,28.5,29.6,3.3
10,Andhra-Pradesh,"49,386,799",4.08,"24,738,068","24,648,731",996,"34,776,389","14,610,410","160,205",308,s,1.7,Hyderabad,17.384052,78.456355,"18.1,19.4,18.7,15.3,11,8.5,6.5,2,0.6","19.1,20.6,18.7,15,11.3,7.2,5.9,1.9,0.5","17.4,19.8,21.4,16.2,11.3,7.3,4.4,1.5,0.6","18.3,19.8,19.9,16.5,12.1,7.3,4.2,1.4,0.5",30.4,29.3,29.2,28.9,2
28,Arunachal-Pradesh,"1,383,727",0.11,"713,912","669,815",938,"1,069,165","313,446","83,743",17,s,2.1,Itanagar,27.102349,93.692047,"27.1,23.9,18.1,13.2,8.7,4.8,2.8,1,0.4","26.6,23.3,17.5,13.1,9.6,5.5,2.9,1,0.4","22.4,27,21.6,15.8,8.8,2.8,1.1,0.4,0.3","20.5,23.3,20.9,16.4,12.1,5,1.3,0.3,0.3",24.1,24.7,23.3,25.4,2.9
15,Assam,"31,205,576",2.58,"15,939,443","15,266,133",958,"26,780,526","4,388,756","78,438",397,s,2.3,Dispur,26.135638,91.800688,"25.3,21.3,19.1,13.9,9.5,5.6,3.5,1.3,0.5","25.3,21.4,17.8,14.1,10.2,6,3.5,1.3,0.5","17,18.7,21,17.5,12.6,7.1,4,1.6,0.6","17,18.3,19.1,16.9,13.8,8.5,4.3,1.6,0.5",25.6,25.9,29.5,30.1,2.1
3,Bihar,"104,099,452",8.6,"54,278,157","49,821,295",918,"92,075,028","11,729,609","94,163","1,102",s,3.3,Patna,25.615379,85.101027,"31.4,20.1,15.9,12.7,8.2,6,4.2,1.2,0.4","31,21.8,15.2,12.3,8.3,5.4,4.3,1.3,0.4","25.2,22,17.7,13.9,9.4,6.3,3.9,1.2,0.5","24.9,22.6,17.3,13.5,9.6,6.2,4.1,1.3,0.4",24.4,24.3,25.9,26.1,2.5
31,Chandigarh,"1,055,450",0.09,"580,663","474,787",818,"29,004","1,025,682",114,"9,252",u,1.6,Chandigarh,30.736292,76.788398,"25.5,17.6,25.6,16,7.7,4.1,2.3,0.7,0.4","20.6,19.6,27,18.2,8.1,3.6,2.1,0.7,0.2","18.7,18.4,21.5,16.3,12,7.2,3.8,1.6,0.6","17.8,20,22,15.9,11.6,7.4,3.4,1.4,0.5",24.4,25.2,28.7,28.3,4.1
17,Chhattisgarh,"25,545,198",2.11,"12,832,895","12,712,303",991,"19,603,658","5,936,538","135,191",189,s,2.5,Raipur,21.233333,81.633333,"23.9,21.5,16.5,13.8,10.3,6.8,5.1,1.7,0.5","24.5,21.7,16.9,13.6,10.7,6.3,4.3,1.4,0.4","19.9,20.4,20,15.6,11.4,6.7,4.1,1.4,0.5","20.3,20.5,19.4,15.4,11.9,7,3.7,1.3,0.4",27.2,26.5,28,27.7,2.2
34,Dadra-Nagar-Haveli,"343,709",0.03,"193,760","149,949",774,"183,024","159,829",491,698,u,2.3,Silvassa,20.273855,72.996728,"27,22.1,18.6,12.6,9.2,5.6,3.5,1.1,0.3","24.2,23.2,23,13.2,8.5,4.7,2.4,0.6,0.1","24.3,16.8,26.7,17.1,7.6,4.1,2.3,0.8,0.4","19.2,18.6,29.2,18.8,8.5,3.4,1.7,0.4,0.2",24.6,24,24.8,25.4,4.6
35,Daman-Diu,"243,247",0.02,"150,301","92,946",618,"60,331","182,580",112,"2,169",u,1.7,Daman,20.414315,72.83236,"21.2,21.3,19.7,15,9.8,6.5,4.3,1.7,0.6","19.6,22.9,22.7,16.1,9.7,5.2,2.7,1,0.2","21,16.5,25.5,16.8,8.9,5.5,3.7,1.6,0.5","13.2,21.4,34.9,17,7.7,3.3,1.6,0.6,0.2",27.4,26,27.2,26.2,3.9
19,Delhi,"16,787,941",1.39,"8,887,326","7,800,615",868,"944,727","12,905,780","1,484","11,297",u,1.7,Delhi,28.651952,77.231495,"15.2,14.9,17.6,17.3,13.2,10.1,7.5,3.1,1","16,16,18.4,17.5,13.4,9.3,6.4,2.3,0.6","15.8,15.2,18,17.2,13.6,9.8,6.6,2.9,1","16.2,16.6,19.1,16.8,13.5,9.3,5.8,2.3,0.6",33.5,31.9,32.8,31.5,4.1
27,Goa,"1,458,545",0.12,"739,140","719,405",973,"551,414","906,309","3,702",394,s,1.5,Panaji,15.498289,73.824541,"22.1,20.3,16.7,14.2,11.2,7.6,5.1,2.1,0.7","23.1,21.1,17.3,14.2,11,7.1,4.1,1.6,0.5","18.2,18.5,20.2,16.1,12.3,7.7,4.4,1.9,0.7","19.1,19.9,20.3,15.6,11.7,7.5,3.8,1.5,0.5",28.5,27.2,29.5,28.4,1.8
9,Gujarat,"60,439,692",4.99,"31,491,260","28,948,432",919,"34,670,817","25,712,811","196,024",308,s,2.2,Ghandinagar,23.216667,72.683333,"21.5,21.2,18.2,14,9.9,6.8,5.4,2.1,0.8","22.9,22.8,18.4,13.4,9.6,5.7,4.7,1.8,0.7","19.3,18.8,20.4,15.9,11.3,7.3,4.5,1.7,0.7","20.6,20.7,19.6,15,10.9,6.9,4.2,1.5,0.6",28.2,26.8,28.8,27.8,2.3
18,Haryana,"25,351,462",2.09,"13,494,734","11,856,728",879,"16,531,493","8,821,588","44,212",573,s,2.2,Chandigarh,30.736292,76.788398,"18,18,18.3,15.5,12.1,8.5,5.5,2.8,1.2","19.6,19.4,17.3,14.9,11.6,8.2,5.4,2.5,1.1","16.1,17.6,19.7,18,13.4,8,4.4,2.1,0.8","15.9,19,19.7,16.5,13.4,8.8,4.1,1.8,0.7",30.9,29.9,30.7,30.3,2.6
22,Himachal-Pradesh,"6,864,602",0.57,"3,481,873","3,382,729",972,"6,167,805","688,704","55,673",123,s,1.7,Shimla,31.104423,77.166623,"26.7,22.3,17.5,13,9.2,5.6,3.6,1.6,0.6","27.6,21.7,17.1,13,9.3,5.6,3.6,1.6,0.6","19.8,19.2,19.6,15.6,11.5,7.3,4.4,1.9,0.7","19.4,18,20.9,16.5,12.1,7,4,1.6,0.6",25.3,25.2,28.8,28.7,2
